GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
structure-microservice,pe.edu.vallegrande.ms_distribution,msWaterDistributionApplication,8,0,0,0,3,0,2,0,2,0
structure-microservice,pe.edu.vallegrande.ms_distribution.infrastructure.service,AuthenticationService,130,0,22,0,22,0,19,0,6,0
structure-microservice,pe.edu.vallegrande.ms_distribution.infrastructure.service,OrganizationService,382,0,24,0,78,0,36,0,24,0
structure-microservice,pe.edu.vallegrande.ms_distribution.application.services.impl,DistributionScheduleServiceImpl,280,0,2,0,71,0,20,0,19,0
structure-microservice,pe.edu.vallegrande.ms_distribution.application.services.impl,DistributionRouteServiceImpl,281,0,0,0,73,0,20,0,20,0
structure-microservice,pe.edu.vallegrande.ms_distribution.application.services.impl,FareServiceImpl,302,0,2,0,72,0,24,0,23,0
structure-microservice,pe.edu.vallegrande.ms_distribution.application.services.impl,DistributionProgramServiceImpl,183,135,2,2,41,42,12,4,10,4
structure-microservice,pe.edu.vallegrande.ms_distribution.infrastructure.dto,ResponseDto,24,0,0,0,10,0,2,0,2,0
structure-microservice,pe.edu.vallegrande.ms_distribution.domain.enums,Constants,15,0,0,0,2,0,1,0,1,0
structure-microservice,pe.edu.vallegrande.ms_distribution.infrastructure.exception,GlobalExceptionHandler,44,0,2,0,9,0,4,0,3,0
structure-microservice,pe.edu.vallegrande.ms_distribution.infrastructure.exception,CustomException,44,0,0,0,9,0,5,0,5,0
structure-microservice,pe.edu.vallegrande.ms_distribution.infrastructure.rest,FareRest,213,0,0,0,39,0,23,0,23,0
structure-microservice,pe.edu.vallegrande.ms_distribution.infrastructure.rest,DistributionProgramRest,122,0,0,0,19,0,15,0,15,0
structure-microservice,pe.edu.vallegrande.ms_distribution.infrastructure.rest,DistributionRouteRest,213,0,0,0,33,0,23,0,23,0
structure-microservice,pe.edu.vallegrande.ms_distribution.infrastructure.rest,OrganizationRest,45,0,0,0,10,0,8,0,8,0
structure-microservice,pe.edu.vallegrande.ms_distribution.infrastructure.rest,DistributionScheduleRest,212,0,0,0,39,0,23,0,23,0
structure-microservice,pe.edu.vallegrande.ms_distribution.application.config,WebClientConfig,69,0,0,0,14,0,4,0,4,0
structure-microservice,pe.edu.vallegrande.ms_distribution.application.config,JacksonConfig,55,0,0,0,11,0,3,0,3,0
structure-microservice,pe.edu.vallegrande.ms_distribution.application.config,OpenApiConfig,35,0,0,0,13,0,2,0,2,0
structure-microservice,pe.edu.vallegrande.ms_distribution.application.config,GlobalCorsConfig,37,0,0,0,10,0,2,0,2,0
structure-microservice,pe.edu.vallegrande.ms_distribution.application.config,InstantSerializer,14,0,2,0,5,0,3,0,2,0
